,0
0,6
1,2
2,3
3,3
4,6
5,5
6,4
7,2
8,4
9,6
10,4
11,5
12,6
13,5
14,5
15,6
16,5
17,5
18,4
19,5
20,5
21,6
22,5
23,6
24,4
25,6
26,6
