,Alpha,L1 ratio,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,0.0001,0.0,"[62, 0, 34, 0]",0.7077568134171908,0.6140825043448601,0.5014577259475219,0.549088199598129
1,0.0001,0.1,"[62, 0, 34, 0]",0.7159329140461216,0.6131939067287299,0.5696793002915451,0.5881932528968605
2,0.0001,0.2,"[55, 7, 27, 7]",0.7159329140461216,0.605773855998198,0.5994169096209913,0.6003333744663907
3,0.001,0.0,"[40, 22, 7, 27]",0.7461215932914047,0.6269964359902878,0.7253644314868805,0.6724936334209985
4,0.001,0.1,"[40, 22, 7, 27]",0.7450733752620544,0.62674487182624,0.7195335276967931,0.6698581930407312
5,0.001,0.2,"[40, 22, 7, 27]",0.7454926624737944,0.6268129108654407,0.721865889212828,0.6709211685454253
