,Alpha,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,0.0001,"[44, 18, 11, 23]",0.7058700209643606,0.5668804066561703,0.7708454810495626,0.6532638087070256
1,0.001,"[43, 19, 11, 23]",0.7060796645702305,0.5663852181447414,0.7784256559766763,0.6556692167353344
2,0.01,"[38, 24, 6, 28]",0.709853249475891,0.566602783271301,0.8209912536443149,0.6704765832626
