,Alpha,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[46, 16, 11, 23]","[45, 16, 11, 24]","[43, 18, 8, 27]","[51, 10, 9, 26]","[47, 14, 7, 27]","[50, 11, 9, 25]",[474 137  97 246],[467 144 102 241],[471 140 100 243],[472 139  97 246],[467 144 104 239]
1,0.001,"[47, 15, 11, 23]","[44, 17, 10, 25]","[43, 18, 8, 27]","[51, 10, 9, 26]","[46, 15, 6, 28]","[50, 11, 9, 25]",[473 138  97 246],[468 143 102 241],[471 140 100 243],[474 137  96 247],[467 144  99 244]
2,0.01,"[46, 16, 8, 26]","[44, 17, 10, 25]","[42, 19, 8, 27]","[50, 11, 7, 28]","[43, 18, 4, 30]","[50, 11, 9, 25]",[464 147  89 254],[460 151  93 250],[466 145  92 251],[467 144  92 251],[464 147  92 251]
