,Gauss,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,1,50,0.5,"[268, 38, 158, 13]",0.5220125786163522,0.3712984054669704,0.4752186588921283,0.41687979539641945
1,1,50,0.75,"[306, 0, 171, 0]",0.549266247379455,0.3739130434782609,0.3760932944606414,0.375
2,1,50,1.0,"[304, 2, 167, 4]",0.6341719077568134,0.4375,0.061224489795918366,0.10741687979539641
3,1,100,0.5,"[268, 38, 158, 13]",0.5220125786163522,0.3712984054669704,0.4752186588921283,0.41687979539641945
4,1,100,0.75,"[43, 263, 26, 145]",0.42557651991614254,0.36387782204515273,0.7988338192419825,0.5
5,1,100,1.0,"[304, 2, 167, 4]",0.6341719077568134,0.42857142857142855,0.052478134110787174,0.09350649350649351
6,1,150,0.5,"[268, 38, 158, 13]",0.5220125786163522,0.3712984054669704,0.4752186588921283,0.41687979539641945
7,1,150,0.75,"[295, 11, 159, 12]",0.550314465408805,0.38315217391304346,0.4110787172011662,0.39662447257383965
8,1,150,1.0,"[304, 2, 167, 4]",0.6310272536687631,0.45871559633027525,0.1457725947521866,0.22123893805309733
9,0,50,0.5,"[277, 29, 136, 35]",0.6645702306079665,0.5966386554621849,0.20699708454810495,0.30735930735930733
10,0,50,0.75,"[276, 30, 133, 38]",0.6666666666666666,0.5984251968503937,0.22157434402332363,0.3234042553191489
11,0,50,1.0,"[276, 30, 131, 40]",0.6677148846960168,0.6,0.22740524781341107,0.32980972515856233
12,0,100,0.5,"[276, 30, 131, 40]",0.6687631027253669,0.6046511627906976,0.22740524781341107,0.3305084745762712
13,0,100,0.75,"[276, 30, 131, 40]",0.6677148846960168,0.6,0.22740524781341107,0.32980972515856233
14,0,100,1.0,"[277, 29, 131, 40]",0.6687631027253669,0.6046511627906976,0.22740524781341107,0.3305084745762712
15,0,150,0.5,"[276, 30, 131, 40]",0.6677148846960168,0.6,0.22740524781341107,0.32980972515856233
16,0,150,0.75,"[277, 29, 131, 40]",0.6687631027253669,0.6046511627906976,0.22740524781341107,0.3305084745762712
17,0,150,1.0,"[277, 29, 131, 40]",0.6677148846960168,0.6015625,0.22448979591836735,0.32696390658174096
