,Gauss,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[39, 23, 18, 16]","[32, 29, 9, 26]","[43, 18, 12, 23]","[38, 23, 13, 22]","[39, 22, 12, 22]","[35, 26, 12, 22]",[364 247 125 218],[356 255 125 218],[370 241 122 221],[367 244 125 218],[356 255 126 217]
1,0,"[55, 7, 30, 4]","[57, 4, 27, 8]","[54, 7, 27, 8]","[55, 6, 30, 5]","[54, 7, 27, 7]","[54, 7, 24, 10]",[552  59 276  67],[544  67 269  74],[534  77 259  84],[539  72 259  84],[540  71 268  75]
