,N_Estimators,Max_Depth,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,300,5,"[48, 14, 7, 27]",0.7593291404612159,0.6505697440340154,0.7142857142857144,0.6809340357386138
1,300,10,"[47, 15, 12, 22]",0.7582809224318658,0.6488065912447268,0.7142857142857142,0.6799088145010661
2,300,15,"[48, 14, 13, 21]",0.7306079664570231,0.6299911602961702,0.6075801749271137,0.6183794259441144
3,500,5,"[47, 15, 7, 27]",0.7582809224318658,0.6491708384518724,0.7131195335276969,0.6796354695726029
4,500,10,"[47, 15, 11, 23]",0.7576519916142558,0.6478109844757329,0.7142857142857143,0.6793727682040556
5,500,15,"[48, 14, 13, 21]",0.7293501048218028,0.6274231609491104,0.6081632653061224,0.6174517857220346
