,Alpha,L1 ratio,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,0.0001,0.0,"[196, 110, 34, 137]",0.7211740041928721,0.5881006864988558,0.749271137026239,0.658974358974359
1,0.0001,0.1,"[183, 123, 28, 143]",0.720125786163522,0.5887850467289719,0.7346938775510204,0.6536964980544747
2,0.0001,0.2,"[191, 115, 28, 143]",0.7306079664570231,0.6,0.7521865889212828,0.6675291073738681
3,0.001,0.0,"[213, 93, 31, 140]",0.7536687631027253,0.6261682242990654,0.7813411078717201,0.695201037613489
4,0.001,0.1,"[212, 94, 30, 141]",0.7536687631027253,0.6310679611650486,0.7580174927113703,0.6887417218543047
5,0.001,0.2,"[214, 92, 31, 140]",0.7568134171907757,0.6356968215158925,0.7580174927113703,0.6914893617021277
