,0
0,12
1,10
2,11
3,11
4,12
5,9
6,8
7,10
8,8
9,11
10,6
11,12
12,12
13,10
14,4
15,9
16,8
17,11
18,5
19,4
20,9
21,7
22,10
23,12
24,9
25,11
26,10
