,Alpha,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[44, 18, 11, 23]","[38, 23, 9, 26]","[37, 24, 6, 29]","[42, 19, 6, 29]","[37, 24, 2, 32]","[46, 15, 8, 26]",[415 196  82 261],[406 205  75 268],[405 206  70 273],[408 203  85 258],[411 200  81 262]
1,0.001,"[43, 19, 11, 23]","[38, 23, 9, 26]","[37, 24, 6, 29]","[42, 19, 6, 29]","[36, 25, 2, 32]","[46, 15, 8, 26]",[410 201  77 266],[405 206  74 269],[404 207  70 273],[406 205  81 262],[408 203  78 265]
2,0.01,"[38, 24, 6, 28]","[38, 23, 9, 26]","[37, 24, 6, 29]","[42, 19, 6, 29]","[36, 25, 2, 32]","[45, 16, 8, 26]",[394 217  61 282],[394 217  62 281],[396 215  60 283],[398 213  61 282],[396 215  63 280]
