,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,300,5,"[44, 18, 9, 25]","[45, 16, 11, 24]","[43, 18, 8, 27]","[51, 10, 7, 28]","[45, 16, 8, 26]","[51, 10, 8, 26]",[468 143  90 253],[472 139  91 252],[474 137  94 249],[473 138  87 256],[468 143  89 254]
1,300,10,"[41, 21, 9, 25]","[42, 19, 15, 20]","[41, 20, 8, 27]","[46, 15, 7, 28]","[45, 16, 10, 24]","[50, 11, 12, 22]",[452 159 100 243],[466 145  98 245],[466 145  94 249],[461 150 101 242],[458 153 101 242]
2,300,15,"[41, 21, 9, 25]","[42, 19, 15, 20]","[41, 20, 8, 27]","[46, 15, 7, 28]","[45, 16, 10, 24]","[50, 11, 12, 22]",[452 159 100 243],[466 145  98 245],[464 147  94 249],[461 150 101 242],[458 153 101 242]
3,500,5,"[44, 18, 9, 25]","[45, 16, 11, 24]","[43, 18, 8, 27]","[51, 10, 7, 28]","[45, 16, 8, 26]","[51, 10, 8, 26]",[468 143  90 253],[474 137  92 251],[475 136  93 250],[473 138  87 256],[470 141  90 253]
4,500,10,"[41, 21, 9, 25]","[42, 19, 15, 20]","[41, 20, 8, 27]","[46, 15, 7, 28]","[45, 16, 9, 25]","[50, 11, 13, 21]",[452 159 100 243],[463 148  97 246],[464 147  93 250],[457 154 102 241],[460 151  99 244]
5,500,15,"[41, 21, 9, 25]","[42, 19, 15, 20]","[41, 20, 8, 27]","[46, 15, 7, 28]","[45, 16, 9, 25]","[50, 11, 13, 21]",[452 159 100 243],[463 148  97 246],[464 147  93 250],[457 154 102 241],[459 152  99 244]
