,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[22, 40, 3, 31]","[10, 51, 5, 30]","[20, 41, 4, 31]","[27, 34, 2, 33]","[22, 39, 3, 31]","[20, 41, 4, 30]","[19, 42, 1, 33]","[25, 36, 4, 30]","[21, 40, 3, 31]","[10, 51, 4, 30]"
1,0,"[46, 16, 9, 25]","[43, 18, 10, 25]","[49, 12, 5, 30]","[48, 13, 12, 23]","[51, 10, 4, 30]","[46, 15, 9, 25]","[43, 18, 7, 27]","[43, 18, 7, 27]","[44, 17, 12, 22]","[41, 20, 9, 25]"
