,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[54, 8, 9, 25]","[50, 11, 10, 25]","[43, 18, 11, 24]","[43, 18, 15, 20]","[45, 16, 9, 25]","[44, 17, 8, 26]","[50, 11, 10, 24]","[48, 13, 8, 26]","[47, 14, 15, 19]","[48, 13, 5, 29]"
1,0.001,"[53, 9, 9, 25]","[50, 11, 10, 25]","[43, 18, 11, 24]","[44, 17, 15, 20]","[45, 16, 9, 25]","[45, 16, 8, 26]","[49, 12, 10, 24]","[49, 12, 7, 27]","[47, 14, 15, 19]","[48, 13, 5, 29]"
2,0.01,"[51, 11, 9, 25]","[49, 12, 7, 28]","[43, 18, 12, 23]","[44, 17, 12, 23]","[45, 16, 10, 24]","[44, 17, 8, 26]","[47, 14, 10, 24]","[47, 14, 6, 28]","[45, 16, 15, 19]","[48, 13, 5, 29]"
