,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[39, 23, 18, 16]","[32, 29, 9, 26]","[43, 18, 12, 23]","[38, 23, 13, 22]","[39, 22, 12, 22]","[35, 26, 12, 22]","[40, 21, 8, 26]","[35, 26, 13, 21]","[32, 29, 8, 26]","[31, 30, 20, 14]"
1,0,"[55, 7, 30, 4]","[57, 4, 27, 8]","[54, 7, 27, 8]","[55, 6, 30, 5]","[54, 7, 27, 7]","[54, 7, 24, 10]","[58, 3, 27, 7]","[53, 8, 24, 10]","[58, 3, 27, 7]","[54, 7, 33, 1]"
