,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[40, 22, 6, 28]"
1,0.0001,0.1,"[40, 22, 6, 28]"
2,0.0001,0.2,"[40, 22, 6, 28]"
3,0.001,0.0,"[43, 19, 7, 27]"
4,0.001,0.1,"[43, 19, 7, 27]"
5,0.001,0.2,"[43, 19, 7, 27]"
