,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[45, 16, 8, 27]"
1,300,10,"[46, 15, 8, 27]"
2,300,15,"[47, 14, 12, 23]"
3,500,5,"[45, 16, 9, 26]"
4,500,10,"[46, 15, 8, 27]"
5,500,15,"[47, 14, 11, 24]"
