,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[53, 8, 17, 17]"
1,0.0001,0.1,"[58, 3, 23, 11]"
2,0.0001,0.2,"[53, 8, 17, 17]"
3,0.001,0.0,"[50, 11, 6, 28]"
4,0.001,0.1,"[50, 11, 6, 28]"
5,0.001,0.2,"[50, 11, 6, 28]"
