,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix
80,rbf,1.0,1,,150,1.0,"[62, 0, 34, 0]"
81,poly,1.0,1,2,50,0.5,"[62, 0, 34, 0]"
82,poly,1.0,1,2,50,0.75,"[62, 0, 34, 0]"
83,poly,1.0,1,2,50,1.0,"[62, 0, 34, 0]"
84,poly,1.0,1,2,100,0.5,"[62, 0, 34, 0]"
85,poly,1.0,1,2,100,0.75,"[62, 0, 34, 0]"
86,poly,1.0,1,2,100,1.0,"[62, 0, 34, 0]"
87,poly,1.0,1,2,150,0.5,"[62, 0, 34, 0]"
88,poly,1.0,1,2,150,0.75,"[62, 0, 34, 0]"
89,poly,1.0,1,2,150,1.0,"[62, 0, 34, 0]"
90,poly,1.0,1,3,50,0.5,"[59, 3, 26, 8]"
91,poly,1.0,1,3,50,0.75,"[40, 22, 4, 30]"
92,poly,1.0,1,3,50,1.0,"[59, 3, 26, 8]"
93,poly,1.0,1,3,100,0.5,"[59, 3, 26, 8]"
94,poly,1.0,1,3,100,0.75,"[40, 22, 4, 30]"
95,poly,1.0,1,3,100,1.0,"[59, 3, 26, 8]"
96,poly,1.0,1,3,150,0.5,"[59, 3, 26, 8]"
97,poly,1.0,1,3,150,0.75,"[40, 22, 4, 30]"
98,poly,1.0,1,3,150,1.0,"[59, 3, 26, 8]"
99,rbf,1.0,10.0,,50,0.5,"[62, 0, 34, 0]"
100,rbf,1.0,10.0,,50,0.75,"[62, 0, 34, 0]"
101,rbf,1.0,10.0,,50,1.0,"[62, 0, 34, 0]"
102,rbf,1.0,10.0,,100,0.5,"[62, 0, 34, 0]"
103,rbf,1.0,10.0,,100,0.75,"[62, 0, 34, 0]"
104,rbf,1.0,10.0,,100,1.0,"[62, 0, 34, 0]"
105,rbf,1.0,10.0,,150,0.5,"[62, 0, 34, 0]"
106,rbf,1.0,10.0,,150,0.75,"[62, 0, 34, 0]"
107,rbf,1.0,10.0,,150,1.0,"[62, 0, 34, 0]"
108,poly,1.0,10.0,2,50,0.5,"[45, 17, 6, 28]"
109,poly,1.0,10.0,2,50,0.75,"[45, 17, 5, 29]"
110,poly,1.0,10.0,2,50,1.0,"[45, 17, 6, 28]"
111,poly,1.0,10.0,2,100,0.5,"[45, 17, 6, 28]"
112,poly,1.0,10.0,2,100,0.75,"[45, 17, 5, 29]"
113,poly,1.0,10.0,2,100,1.0,"[45, 17, 6, 28]"
114,poly,1.0,10.0,2,150,0.5,"[45, 17, 6, 28]"
115,poly,1.0,10.0,2,150,0.75,"[45, 17, 5, 29]"
116,poly,1.0,10.0,2,150,1.0,"[45, 17, 6, 28]"
117,poly,1.0,10.0,3,50,0.5,"[43, 19, 6, 28]"
118,poly,1.0,10.0,3,50,0.75,"[43, 19, 6, 28]"
119,poly,1.0,10.0,3,50,1.0,"[43, 19, 6, 28]"
120,poly,1.0,10.0,3,100,0.5,"[43, 19, 6, 28]"
121,poly,1.0,10.0,3,100,0.75,"[43, 19, 6, 28]"
122,poly,1.0,10.0,3,100,1.0,"[43, 19, 6, 28]"
123,poly,1.0,10.0,3,150,0.5,"[43, 19, 6, 28]"
124,poly,1.0,10.0,3,150,0.75,"[43, 19, 6, 28]"
125,poly,1.0,10.0,3,150,1.0,"[43, 19, 6, 28]"
126,linear,10.0,,,50,0.5,"[45, 17, 6, 28]"
127,linear,10.0,,,50,0.75,"[46, 16, 7, 27]"
128,linear,10.0,,,50,1.0,"[45, 17, 6, 28]"
129,linear,10.0,,,100,0.5,"[45, 17, 6, 28]"
130,linear,10.0,,,100,0.75,"[46, 16, 7, 27]"
131,linear,10.0,,,100,1.0,"[45, 17, 6, 28]"
132,linear,10.0,,,150,0.5,"[45, 17, 6, 28]"
133,linear,10.0,,,150,0.75,"[46, 16, 7, 27]"
134,linear,10.0,,,150,1.0,"[45, 17, 6, 28]"
135,rbf,10.0,1,,50,0.5,"[51, 11, 17, 17]"
136,rbf,10.0,1,,50,0.75,"[48, 14, 10, 24]"
137,rbf,10.0,1,,50,1.0,"[37, 25, 2, 32]"
138,rbf,10.0,1,,100,0.5,"[51, 11, 17, 17]"
139,rbf,10.0,1,,100,0.75,"[48, 14, 10, 24]"
140,rbf,10.0,1,,100,1.0,"[37, 25, 2, 32]"
141,rbf,10.0,1,,150,0.5,"[51, 11, 17, 17]"
142,rbf,10.0,1,,150,0.75,"[48, 14, 10, 24]"
143,rbf,10.0,1,,150,1.0,"[37, 25, 2, 32]"
144,poly,10.0,1,2,50,0.5,"[47, 15, 8, 26]"
145,poly,10.0,1,2,50,0.75,"[40, 22, 3, 31]"
146,poly,10.0,1,2,50,1.0,"[47, 15, 6, 28]"
147,poly,10.0,1,2,100,0.5,"[47, 15, 8, 26]"
148,poly,10.0,1,2,100,0.75,"[40, 22, 3, 31]"
149,poly,10.0,1,2,100,1.0,"[47, 15, 6, 28]"
150,poly,10.0,1,2,150,0.5,"[47, 15, 8, 26]"
151,poly,10.0,1,2,150,0.75,"[40, 22, 3, 31]"
152,poly,10.0,1,2,150,1.0,"[47, 15, 6, 28]"
153,poly,10.0,1,3,50,0.5,"[45, 17, 5, 29]"
154,poly,10.0,1,3,50,0.75,"[45, 17, 3, 31]"
155,poly,10.0,1,3,50,1.0,"[45, 17, 3, 31]"
156,poly,10.0,1,3,100,0.5,"[45, 17, 5, 29]"
157,poly,10.0,1,3,100,0.75,"[45, 17, 5, 29]"
158,poly,10.0,1,3,100,1.0,"[45, 17, 3, 31]"
159,poly,10.0,1,3,150,0.5,"[45, 17, 5, 29]"
160,poly,10.0,1,3,150,0.75,"[45, 17, 5, 29]"
