,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[46, 15, 12, 23]"
1,0.0001,0.1,"[46, 15, 12, 23]"
2,0.0001,0.2,"[46, 15, 12, 23]"
3,0.001,0.0,"[42, 19, 8, 27]"
4,0.001,0.1,"[42, 19, 8, 27]"
5,0.001,0.2,"[42, 19, 8, 27]"
