,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[43, 18, 9, 25]"
1,linear,0.1,,,100,"[43, 18, 9, 25]"
2,linear,0.1,,,150,"[43, 18, 9, 25]"
3,rbf,0.1,1,,50,"[45, 16, 10, 24]"
4,rbf,0.1,1,,100,"[45, 16, 10, 24]"
5,rbf,0.1,1,,150,"[45, 16, 10, 24]"
6,poly,0.1,1,2,50,"[44, 17, 9, 25]"
7,poly,0.1,1,2,100,"[44, 17, 9, 25]"
8,poly,0.1,1,2,150,"[44, 17, 9, 25]"
9,poly,0.1,1,3,50,"[45, 16, 9, 25]"
10,poly,0.1,1,3,100,"[45, 16, 9, 25]"
11,poly,0.1,1,3,150,"[45, 16, 9, 25]"
12,rbf,0.1,10.0,,50,"[56, 5, 20, 14]"
13,rbf,0.1,10.0,,100,"[56, 5, 20, 14]"
14,rbf,0.1,10.0,,150,"[56, 5, 20, 14]"
15,poly,0.1,10.0,2,50,"[45, 16, 9, 25]"
16,poly,0.1,10.0,2,100,"[44, 17, 9, 25]"
17,poly,0.1,10.0,2,150,"[44, 17, 9, 25]"
18,poly,0.1,10.0,3,50,"[43, 18, 10, 24]"
19,poly,0.1,10.0,3,100,"[44, 17, 10, 24]"
20,poly,0.1,10.0,3,150,"[43, 18, 10, 24]"
21,linear,1.0,,,50,"[43, 18, 9, 25]"
22,linear,1.0,,,100,"[43, 18, 9, 25]"
23,linear,1.0,,,150,"[44, 17, 9, 25]"
24,rbf,1.0,1,,50,"[44, 17, 10, 24]"
25,rbf,1.0,1,,100,"[44, 17, 10, 24]"
26,rbf,1.0,1,,150,"[44, 17, 10, 24]"
27,poly,1.0,1,2,50,"[45, 16, 9, 25]"
28,poly,1.0,1,2,100,"[45, 16, 9, 25]"
29,poly,1.0,1,2,150,"[45, 16, 9, 25]"
30,poly,1.0,1,3,50,"[43, 18, 10, 24]"
31,poly,1.0,1,3,100,"[43, 18, 10, 24]"
32,poly,1.0,1,3,150,"[43, 18, 10, 24]"
33,rbf,1.0,10.0,,50,"[44, 17, 10, 24]"
34,rbf,1.0,10.0,,100,"[44, 17, 10, 24]"
35,rbf,1.0,10.0,,150,"[45, 16, 11, 23]"
36,poly,1.0,10.0,2,50,"[43, 18, 10, 24]"
37,poly,1.0,10.0,2,100,"[44, 17, 10, 24]"
38,poly,1.0,10.0,2,150,"[43, 18, 10, 24]"
39,poly,1.0,10.0,3,50,"[43, 18, 10, 24]"
40,poly,1.0,10.0,3,100,"[44, 17, 10, 24]"
41,poly,1.0,10.0,3,150,"[43, 18, 10, 24]"
42,linear,10.0,,,50,"[43, 18, 9, 25]"
43,linear,10.0,,,100,"[43, 18, 9, 25]"
44,linear,10.0,,,150,"[44, 17, 9, 25]"
45,rbf,10.0,1,,50,"[43, 18, 10, 24]"
46,rbf,10.0,1,,100,"[43, 18, 10, 24]"
47,rbf,10.0,1,,150,"[43, 18, 10, 24]"
48,poly,10.0,1,2,50,"[45, 16, 9, 25]"
49,poly,10.0,1,2,100,"[44, 17, 9, 25]"
50,poly,10.0,1,2,150,"[44, 17, 9, 25]"
51,poly,10.0,1,3,50,"[44, 17, 10, 24]"
52,poly,10.0,1,3,100,"[44, 17, 10, 24]"
53,poly,10.0,1,3,150,"[43, 18, 10, 24]"
54,rbf,10.0,10.0,,50,"[44, 17, 10, 24]"
55,rbf,10.0,10.0,,100,"[44, 17, 10, 24]"
56,rbf,10.0,10.0,,150,"[45, 16, 11, 23]"
57,poly,10.0,10.0,2,50,"[41, 20, 9, 25]"
58,poly,10.0,10.0,2,100,"[42, 19, 9, 25]"
59,poly,10.0,10.0,2,150,"[41, 20, 9, 25]"
60,poly,10.0,10.0,3,50,"[44, 17, 10, 24]"
61,poly,10.0,10.0,3,100,"[44, 17, 10, 24]"
62,poly,10.0,10.0,3,150,"[43, 18, 10, 24]"
63,linear,100.0,,,50,"[43, 18, 9, 25]"
64,linear,100.0,,,100,"[43, 18, 9, 25]"
65,linear,100.0,,,150,"[44, 17, 9, 25]"
66,rbf,100.0,1,,50,"[43, 18, 10, 24]"
67,rbf,100.0,1,,100,"[43, 18, 10, 24]"
68,rbf,100.0,1,,150,"[43, 18, 10, 24]"
69,poly,100.0,1,2,50,"[42, 19, 10, 24]"
70,poly,100.0,1,2,100,"[42, 19, 10, 24]"
71,poly,100.0,1,2,150,"[43, 18, 10, 24]"
72,poly,100.0,1,3,50,"[43, 18, 10, 24]"
73,poly,100.0,1,3,100,"[44, 17, 10, 24]"
74,poly,100.0,1,3,150,"[43, 18, 10, 24]"
75,rbf,100.0,10.0,,50,"[44, 17, 10, 24]"
76,rbf,100.0,10.0,,100,"[44, 17, 10, 24]"
77,rbf,100.0,10.0,,150,"[45, 16, 11, 23]"
78,poly,100.0,10.0,2,50,"[41, 20, 10, 24]"
79,poly,100.0,10.0,2,100,"[41, 20, 10, 24]"
80,poly,100.0,10.0,2,150,"[41, 20, 10, 24]"
81,poly,100.0,10.0,3,50,"[44, 17, 10, 24]"
82,poly,100.0,10.0,3,100,"[44, 17, 10, 24]"
83,poly,100.0,10.0,3,150,"[43, 18, 10, 24]"
84,linear,1000.0,,,50,"[43, 18, 9, 25]"
85,linear,1000.0,,,100,"[44, 17, 9, 25]"
86,linear,1000.0,,,150,"[44, 17, 9, 25]"
87,rbf,1000.0,1,,50,"[43, 18, 10, 24]"
88,rbf,1000.0,1,,100,"[43, 18, 10, 24]"
89,rbf,1000.0,1,,150,"[43, 18, 10, 24]"
90,poly,1000.0,1,2,50,"[41, 20, 9, 25]"
91,poly,1000.0,1,2,100,"[41, 20, 9, 25]"
92,poly,1000.0,1,2,150,"[41, 20, 9, 25]"
93,poly,1000.0,1,3,50,"[43, 18, 10, 24]"
94,poly,1000.0,1,3,100,"[44, 17, 10, 24]"
95,poly,1000.0,1,3,150,"[43, 18, 10, 24]"
96,rbf,1000.0,10.0,,50,"[44, 17, 10, 24]"
97,rbf,1000.0,10.0,,100,"[44, 17, 10, 24]"
98,rbf,1000.0,10.0,,150,"[45, 16, 11, 23]"
99,poly,1000.0,10.0,2,50,"[41, 20, 10, 24]"
100,poly,1000.0,10.0,2,100,"[41, 20, 9, 25]"
101,poly,1000.0,10.0,2,150,"[41, 20, 9, 25]"
102,poly,1000.0,10.0,3,50,"[44, 17, 10, 24]"
103,poly,1000.0,10.0,3,100,"[44, 17, 10, 24]"
