,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix
0,linear,0.1,,,50,0.5,"[40, 21, 5, 29]"
1,linear,0.1,,,50,0.75,"[40, 21, 5, 29]"
2,linear,0.1,,,50,1.0,"[40, 21, 5, 29]"
3,linear,0.1,,,100,0.5,"[40, 21, 5, 29]"
4,linear,0.1,,,100,0.75,"[40, 21, 5, 29]"
5,linear,0.1,,,100,1.0,"[40, 21, 5, 29]"
6,linear,0.1,,,150,0.5,"[40, 21, 5, 29]"
7,linear,0.1,,,150,0.75,"[40, 21, 5, 29]"
8,linear,0.1,,,150,1.0,"[40, 21, 5, 29]"
9,rbf,0.1,1,,50,0.5,"[61, 0, 34, 0]"
10,rbf,0.1,1,,50,0.75,"[61, 0, 34, 0]"
11,rbf,0.1,1,,50,1.0,"[61, 0, 34, 0]"
12,rbf,0.1,1,,100,0.5,"[61, 0, 34, 0]"
13,rbf,0.1,1,,100,0.75,"[61, 0, 34, 0]"
14,rbf,0.1,1,,100,1.0,"[61, 0, 34, 0]"
15,rbf,0.1,1,,150,0.5,"[61, 0, 34, 0]"
16,rbf,0.1,1,,150,0.75,"[61, 0, 34, 0]"
17,rbf,0.1,1,,150,1.0,"[61, 0, 34, 0]"
18,poly,0.1,1,2,50,0.5,"[61, 0, 34, 0]"
19,poly,0.1,1,2,50,0.75,"[61, 0, 34, 0]"
20,poly,0.1,1,2,50,1.0,"[61, 0, 34, 0]"
21,poly,0.1,1,2,100,0.5,"[61, 0, 34, 0]"
22,poly,0.1,1,2,100,0.75,"[61, 0, 34, 0]"
23,poly,0.1,1,2,100,1.0,"[61, 0, 34, 0]"
24,poly,0.1,1,2,150,0.5,"[61, 0, 34, 0]"
25,poly,0.1,1,2,150,0.75,"[61, 0, 34, 0]"
26,poly,0.1,1,2,150,1.0,"[61, 0, 34, 0]"
27,poly,0.1,1,3,50,0.5,"[61, 0, 34, 0]"
28,poly,0.1,1,3,50,0.75,"[61, 0, 34, 0]"
29,poly,0.1,1,3,50,1.0,"[61, 0, 34, 0]"
30,poly,0.1,1,3,100,0.5,"[61, 0, 34, 0]"
31,poly,0.1,1,3,100,0.75,"[61, 0, 34, 0]"
32,poly,0.1,1,3,100,1.0,"[61, 0, 34, 0]"
33,poly,0.1,1,3,150,0.5,"[61, 0, 34, 0]"
34,poly,0.1,1,3,150,0.75,"[61, 0, 34, 0]"
35,poly,0.1,1,3,150,1.0,"[61, 0, 34, 0]"
36,rbf,0.1,10.0,,50,0.5,"[61, 0, 34, 0]"
37,rbf,0.1,10.0,,50,0.75,"[61, 0, 34, 0]"
38,rbf,0.1,10.0,,50,1.0,"[61, 0, 34, 0]"
39,rbf,0.1,10.0,,100,0.5,"[61, 0, 34, 0]"
40,rbf,0.1,10.0,,100,0.75,"[61, 0, 34, 0]"
41,rbf,0.1,10.0,,100,1.0,"[61, 0, 34, 0]"
42,rbf,0.1,10.0,,150,0.5,"[61, 0, 34, 0]"
43,rbf,0.1,10.0,,150,0.75,"[61, 0, 34, 0]"
44,rbf,0.1,10.0,,150,1.0,"[61, 0, 34, 0]"
45,poly,0.1,10.0,2,50,0.5,"[40, 21, 5, 29]"
46,poly,0.1,10.0,2,50,0.75,"[40, 21, 5, 29]"
47,poly,0.1,10.0,2,50,1.0,"[40, 21, 5, 29]"
48,poly,0.1,10.0,2,100,0.5,"[40, 21, 5, 29]"
49,poly,0.1,10.0,2,100,0.75,"[40, 21, 5, 29]"
50,poly,0.1,10.0,2,100,1.0,"[40, 21, 5, 29]"
51,poly,0.1,10.0,2,150,0.5,"[40, 21, 5, 29]"
52,poly,0.1,10.0,2,150,0.75,"[40, 21, 5, 29]"
53,poly,0.1,10.0,2,150,1.0,"[40, 21, 5, 29]"
54,poly,0.1,10.0,3,50,0.5,"[40, 21, 5, 29]"
55,poly,0.1,10.0,3,50,0.75,"[40, 21, 5, 29]"
56,poly,0.1,10.0,3,50,1.0,"[40, 21, 5, 29]"
57,poly,0.1,10.0,3,100,0.5,"[40, 21, 5, 29]"
58,poly,0.1,10.0,3,100,0.75,"[40, 21, 5, 29]"
59,poly,0.1,10.0,3,100,1.0,"[40, 21, 5, 29]"
60,poly,0.1,10.0,3,150,0.5,"[40, 21, 5, 29]"
61,poly,0.1,10.0,3,150,0.75,"[40, 21, 5, 29]"
62,poly,0.1,10.0,3,150,1.0,"[40, 21, 5, 29]"
63,linear,1.0,,,50,0.5,"[40, 21, 5, 29]"
64,linear,1.0,,,50,0.75,"[40, 21, 5, 29]"
65,linear,1.0,,,50,1.0,"[40, 21, 5, 29]"
66,linear,1.0,,,100,0.5,"[40, 21, 5, 29]"
67,linear,1.0,,,100,0.75,"[40, 21, 5, 29]"
68,linear,1.0,,,100,1.0,"[40, 21, 5, 29]"
69,linear,1.0,,,150,0.5,"[40, 21, 5, 29]"
70,linear,1.0,,,150,0.75,"[40, 21, 5, 29]"
71,linear,1.0,,,150,1.0,"[40, 21, 5, 29]"
72,rbf,1.0,1,,50,0.5,"[61, 0, 34, 0]"
73,rbf,1.0,1,,50,0.75,"[61, 0, 34, 0]"
74,rbf,1.0,1,,50,1.0,"[61, 0, 34, 0]"
75,rbf,1.0,1,,100,0.5,"[61, 0, 34, 0]"
76,rbf,1.0,1,,100,0.75,"[61, 0, 34, 0]"
77,rbf,1.0,1,,100,1.0,"[61, 0, 34, 0]"
78,rbf,1.0,1,,150,0.5,"[61, 0, 34, 0]"
79,rbf,1.0,1,,150,0.75,"[61, 0, 34, 0]"
80,rbf,1.0,1,,150,1.0,"[61, 0, 34, 0]"
81,poly,1.0,1,2,50,0.5,"[61, 0, 34, 0]"
82,poly,1.0,1,2,50,0.75,"[60, 1, 34, 0]"
83,poly,1.0,1,2,50,1.0,"[61, 0, 34, 0]"
84,poly,1.0,1,2,100,0.5,"[60, 1, 34, 0]"
85,poly,1.0,1,2,100,0.75,"[60, 1, 34, 0]"
86,poly,1.0,1,2,100,1.0,"[61, 0, 34, 0]"
87,poly,1.0,1,2,150,0.5,"[60, 1, 34, 0]"
88,poly,1.0,1,2,150,0.75,"[60, 1, 34, 0]"
89,poly,1.0,1,2,150,1.0,"[61, 0, 34, 0]"
90,poly,1.0,1,3,50,0.5,"[56, 5, 29, 5]"
91,poly,1.0,1,3,50,0.75,"[40, 21, 4, 30]"
92,poly,1.0,1,3,50,1.0,"[56, 5, 29, 5]"
93,poly,1.0,1,3,100,0.5,"[56, 5, 29, 5]"
94,poly,1.0,1,3,100,0.75,"[40, 21, 4, 30]"
95,poly,1.0,1,3,100,1.0,"[56, 5, 29, 5]"
96,poly,1.0,1,3,150,0.5,"[56, 5, 29, 5]"
97,poly,1.0,1,3,150,0.75,"[40, 21, 4, 30]"
98,poly,1.0,1,3,150,1.0,"[56, 5, 29, 5]"
99,rbf,1.0,10.0,,50,0.5,"[61, 0, 34, 0]"
100,rbf,1.0,10.0,,50,0.75,"[61, 0, 34, 0]"
101,rbf,1.0,10.0,,50,1.0,"[61, 0, 34, 0]"
102,rbf,1.0,10.0,,100,0.5,"[61, 0, 34, 0]"
