,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[46, 16, 11, 23]","[45, 16, 11, 24]","[43, 18, 8, 27]","[51, 10, 9, 26]","[47, 14, 7, 27]","[50, 11, 9, 25]","[49, 12, 9, 25]","[44, 17, 13, 21]","[50, 11, 9, 25]","[49, 12, 11, 23]"
1,0.001,"[47, 15, 11, 23]","[44, 17, 10, 25]","[43, 18, 8, 27]","[51, 10, 9, 26]","[46, 15, 6, 28]","[50, 11, 9, 25]","[48, 13, 11, 23]","[44, 17, 13, 21]","[50, 11, 9, 25]","[50, 11, 11, 23]"
2,0.01,"[46, 16, 8, 26]","[44, 17, 10, 25]","[42, 19, 8, 27]","[50, 11, 7, 28]","[43, 18, 4, 30]","[50, 11, 9, 25]","[48, 13, 9, 25]","[44, 17, 13, 21]","[50, 11, 8, 26]","[47, 14, 13, 21]"
