,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[44, 18, 9, 25]"
1,300,10,"[41, 21, 9, 25]"
2,300,15,"[41, 21, 9, 25]"
3,500,5,"[44, 18, 9, 25]"
4,500,10,"[41, 21, 9, 25]"
5,500,15,"[41, 21, 9, 25]"
