,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[47, 14, 10, 25]"
1,300,10,"[47, 14, 10, 25]"
2,300,15,"[49, 12, 18, 17]"
3,500,5,"[48, 13, 9, 26]"
4,500,10,"[47, 14, 10, 25]"
5,500,15,"[49, 12, 18, 17]"
