,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[53, 8, 11, 24]"
1,linear,0.1,,,100,"[53, 8, 11, 24]"
2,linear,0.1,,,150,"[53, 8, 11, 24]"
3,rbf,0.1,1,,50,"[54, 7, 16, 19]"
4,rbf,0.1,1,,100,"[54, 7, 16, 19]"
5,rbf,0.1,1,,150,"[54, 7, 16, 19]"
6,poly,0.1,1,2,50,"[51, 10, 12, 23]"
7,poly,0.1,1,2,100,"[51, 10, 12, 23]"
8,poly,0.1,1,2,150,"[51, 10, 12, 23]"
9,poly,0.1,1,3,50,"[52, 9, 13, 22]"
10,poly,0.1,1,3,100,"[51, 10, 13, 22]"
11,poly,0.1,1,3,150,"[52, 9, 14, 21]"
12,rbf,0.1,10.0,,50,"[56, 5, 21, 14]"
13,rbf,0.1,10.0,,100,"[56, 5, 21, 14]"
14,rbf,0.1,10.0,,150,"[56, 5, 21, 14]"
15,poly,0.1,10.0,2,50,"[49, 12, 12, 23]"
16,poly,0.1,10.0,2,100,"[49, 12, 12, 23]"
17,poly,0.1,10.0,2,150,"[47, 14, 12, 23]"
18,poly,0.1,10.0,3,50,"[51, 10, 12, 23]"
19,poly,0.1,10.0,3,100,"[51, 10, 12, 23]"
20,poly,0.1,10.0,3,150,"[51, 10, 12, 23]"
21,linear,1.0,,,50,"[51, 10, 11, 24]"
22,linear,1.0,,,100,"[51, 10, 11, 24]"
23,linear,1.0,,,150,"[53, 8, 11, 24]"
24,rbf,1.0,1,,50,"[52, 9, 12, 23]"
25,rbf,1.0,1,,100,"[52, 9, 12, 23]"
26,rbf,1.0,1,,150,"[52, 9, 12, 23]"
27,poly,1.0,1,2,50,"[49, 12, 13, 22]"
28,poly,1.0,1,2,100,"[49, 12, 13, 22]"
29,poly,1.0,1,2,150,"[50, 11, 13, 22]"
30,poly,1.0,1,3,50,"[51, 10, 12, 23]"
31,poly,1.0,1,3,100,"[51, 10, 12, 23]"
32,poly,1.0,1,3,150,"[51, 10, 12, 23]"
33,rbf,1.0,10.0,,50,"[53, 8, 12, 23]"
34,rbf,1.0,10.0,,100,"[52, 9, 12, 23]"
35,rbf,1.0,10.0,,150,"[52, 9, 12, 23]"
36,poly,1.0,10.0,2,50,"[47, 14, 12, 23]"
37,poly,1.0,10.0,2,100,"[47, 14, 12, 23]"
