,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[49, 12, 3, 32]"
1,0.0001,0.1,"[49, 12, 3, 32]"
2,0.0001,0.2,"[49, 12, 3, 32]"
3,0.001,0.0,"[51, 10, 4, 31]"
4,0.001,0.1,"[51, 10, 4, 31]"
5,0.001,0.2,"[51, 10, 4, 31]"
