,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[42, 19, 13, 21]"
1,300,10,"[41, 20, 14, 20]"
2,300,15,"[39, 22, 17, 17]"
3,500,5,"[42, 19, 13, 21]"
4,500,10,"[41, 20, 12, 22]"
5,500,15,"[39, 22, 18, 16]"
