,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[48, 14, 8, 26]"
1,300,10,"[49, 13, 9, 25]"
2,300,15,"[49, 13, 9, 25]"
3,500,5,"[48, 14, 8, 26]"
4,500,10,"[49, 13, 9, 25]"
5,500,15,"[49, 13, 9, 25]"
