,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[48, 13, 15, 20]"
1,300,10,"[47, 14, 13, 22]"
2,300,15,"[51, 10, 16, 19]"
3,500,5,"[47, 14, 15, 20]"
4,500,10,"[47, 14, 13, 22]"
5,500,15,"[51, 10, 16, 19]"
