,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[47, 14, 8, 26]"
1,300,10,"[43, 18, 7, 27]"
2,300,15,"[43, 18, 7, 27]"
3,500,5,"[47, 14, 8, 26]"
4,500,10,"[43, 18, 7, 27]"
5,500,15,"[43, 18, 7, 27]"
