,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[59, 2, 33, 1]"
1,0.0001,0.1,"[50, 11, 13, 21]"
2,0.0001,0.2,"[46, 15, 9, 25]"
3,0.001,0.0,"[44, 17, 8, 26]"
4,0.001,0.1,"[45, 16, 8, 26]"
5,0.001,0.2,"[45, 16, 8, 26]"
