,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[46, 16, 10, 24]","[45, 16, 11, 24]","[43, 18, 8, 27]","[51, 10, 7, 28]","[45, 16, 7, 27]","[50, 11, 10, 24]","[48, 13, 10, 24]","[45, 16, 13, 21]","[50, 11, 10, 24]","[51, 10, 12, 22]"
1,0.001,"[46, 16, 10, 24]","[45, 16, 10, 25]","[43, 18, 8, 27]","[51, 10, 7, 28]","[45, 16, 7, 27]","[50, 11, 10, 24]","[47, 14, 11, 23]","[45, 16, 13, 21]","[49, 12, 9, 25]","[51, 10, 11, 23]"
2,0.01,"[46, 16, 6, 28]","[43, 18, 10, 25]","[42, 19, 8, 27]","[50, 11, 7, 28]","[43, 18, 4, 30]","[51, 10, 10, 24]","[47, 14, 10, 24]","[44, 17, 13, 21]","[50, 11, 8, 26]","[47, 14, 13, 21]"
