,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[52, 9, 18, 17]"
1,0.0001,0.1,"[61, 0, 35, 0]"
2,0.0001,0.2,"[50, 11, 13, 22]"
3,0.001,0.0,"[49, 12, 6, 29]"
4,0.001,0.1,"[49, 12, 6, 29]"
5,0.001,0.2,"[49, 12, 6, 29]"
