,Neighbors,Estimators,Confusion Matrix
0,12,50,"[215, 91, 33, 138]"
1,12,100,"[221, 85, 38, 133]"
2,12,150,"[221, 85, 38, 133]"
3,14,50,"[213, 93, 31, 140]"
4,14,100,"[214, 92, 33, 138]"
5,14,150,"[214, 92, 33, 138]"
6,16,50,"[212, 94, 31, 140]"
7,16,100,"[211, 95, 31, 140]"
8,16,150,"[212, 94, 31, 140]"
