,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[48, 13, 11, 23]"
1,300,10,"[49, 12, 11, 23]"
2,300,15,"[49, 12, 11, 23]"
3,500,5,"[48, 13, 11, 23]"
4,500,10,"[50, 11, 11, 23]"
5,500,15,"[49, 12, 11, 23]"
