,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix
80,rbf,1.0,1,,150,1.0,"[61, 0, 35, 0]"
81,poly,1.0,1,2,50,0.5,"[60, 1, 33, 2]"
82,poly,1.0,1,2,50,0.75,"[60, 1, 33, 2]"
83,poly,1.0,1,2,50,1.0,"[47, 14, 19, 16]"
84,poly,1.0,1,2,100,0.5,"[60, 1, 33, 2]"
85,poly,1.0,1,2,100,0.75,"[60, 1, 33, 2]"
86,poly,1.0,1,2,100,1.0,"[47, 14, 19, 16]"
87,poly,1.0,1,2,150,0.5,"[60, 1, 33, 2]"
88,poly,1.0,1,2,150,0.75,"[60, 1, 33, 2]"
89,poly,1.0,1,2,150,1.0,"[47, 14, 19, 16]"
90,poly,1.0,1,3,50,0.5,"[52, 9, 24, 11]"
91,poly,1.0,1,3,50,0.75,"[51, 10, 22, 13]"
92,poly,1.0,1,3,50,1.0,"[56, 5, 23, 12]"
93,poly,1.0,1,3,100,0.5,"[52, 9, 24, 11]"
94,poly,1.0,1,3,100,0.75,"[51, 10, 22, 13]"
95,poly,1.0,1,3,100,1.0,"[56, 5, 23, 12]"
96,poly,1.0,1,3,150,0.5,"[52, 9, 24, 11]"
97,poly,1.0,1,3,150,0.75,"[51, 10, 22, 13]"
98,poly,1.0,1,3,150,1.0,"[56, 5, 23, 12]"
99,rbf,1.0,10.0,,50,0.5,"[61, 0, 35, 0]"
100,rbf,1.0,10.0,,50,0.75,"[61, 0, 35, 0]"
101,rbf,1.0,10.0,,50,1.0,"[61, 0, 35, 0]"
102,rbf,1.0,10.0,,100,0.5,"[61, 0, 35, 0]"
103,rbf,1.0,10.0,,100,0.75,"[61, 0, 35, 0]"
104,rbf,1.0,10.0,,100,1.0,"[61, 0, 35, 0]"
105,rbf,1.0,10.0,,150,0.5,"[61, 0, 35, 0]"
106,rbf,1.0,10.0,,150,0.75,"[61, 0, 35, 0]"
107,rbf,1.0,10.0,,150,1.0,"[61, 0, 35, 0]"
108,poly,1.0,10.0,2,50,0.5,"[53, 8, 23, 12]"
109,poly,1.0,10.0,2,50,0.75,"[49, 12, 22, 13]"
110,poly,1.0,10.0,2,50,1.0,"[49, 12, 22, 13]"
111,poly,1.0,10.0,2,100,0.5,"[53, 8, 23, 12]"
112,poly,1.0,10.0,2,100,0.75,"[49, 12, 22, 13]"
113,poly,1.0,10.0,2,100,1.0,"[49, 12, 22, 13]"
114,poly,1.0,10.0,2,150,0.5,"[53, 8, 23, 12]"
115,poly,1.0,10.0,2,150,0.75,"[49, 12, 22, 13]"
116,poly,1.0,10.0,2,150,1.0,"[49, 12, 22, 13]"
117,poly,1.0,10.0,3,50,0.5,"[48, 13, 21, 14]"
118,poly,1.0,10.0,3,50,0.75,"[48, 13, 21, 14]"
119,poly,1.0,10.0,3,50,1.0,"[50, 11, 22, 13]"
120,poly,1.0,10.0,3,100,0.5,"[50, 11, 22, 13]"
121,poly,1.0,10.0,3,100,0.75,"[49, 12, 21, 14]"
122,poly,1.0,10.0,3,100,1.0,"[51, 10, 20, 15]"
123,poly,1.0,10.0,3,150,0.5,"[50, 11, 22, 13]"
124,poly,1.0,10.0,3,150,0.75,"[49, 12, 21, 14]"
125,poly,1.0,10.0,3,150,1.0,"[51, 10, 22, 13]"
126,linear,10.0,,,50,0.5,"[54, 7, 28, 7]"
127,linear,10.0,,,50,0.75,"[54, 7, 28, 7]"
128,linear,10.0,,,50,1.0,"[57, 4, 29, 6]"
129,linear,10.0,,,100,0.5,"[54, 7, 28, 7]"
130,linear,10.0,,,100,0.75,"[54, 7, 28, 7]"
