,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[40, 21, 4, 30]"
1,300,10,"[39, 22, 8, 26]"
2,300,15,"[39, 22, 8, 26]"
3,500,5,"[40, 21, 4, 30]"
4,500,10,"[39, 22, 7, 27]"
5,500,15,"[39, 22, 7, 27]"
