,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[53, 8, 21, 13]"
1,0.0001,0.1,"[52, 9, 17, 17]"
2,0.0001,0.2,"[52, 9, 17, 17]"
3,0.001,0.0,"[48, 13, 10, 24]"
4,0.001,0.1,"[48, 13, 10, 24]"
5,0.001,0.2,"[48, 13, 10, 24]"
