,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[18, 44, 1, 33]","[18, 43, 4, 31]","[15, 46, 2, 33]","[16, 45, 0, 35]","[22, 39, 4, 30]","[24, 37, 7, 27]","[22, 39, 3, 31]","[22, 39, 5, 29]","[20, 41, 4, 30]","[16, 45, 2, 32]"
1,0,"[44, 18, 5, 29]","[45, 16, 8, 27]","[41, 20, 13, 22]","[54, 7, 3, 32]","[44, 17, 5, 29]","[49, 12, 10, 24]","[44, 17, 8, 26]","[47, 14, 11, 23]","[39, 22, 10, 24]","[44, 17, 8, 26]"
