,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[38, 23, 7, 27]"
1,0.0001,0.1,"[38, 23, 7, 27]"
2,0.0001,0.2,"[38, 23, 7, 27]"
3,0.001,0.0,"[46, 15, 9, 25]"
4,0.001,0.1,"[46, 15, 9, 25]"
5,0.001,0.2,"[46, 15, 9, 25]"
