,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[55, 6, 25, 9]"
1,0.0001,0.1,"[50, 11, 10, 24]"
2,0.0001,0.2,"[50, 11, 10, 24]"
3,0.001,0.0,"[47, 14, 5, 29]"
4,0.001,0.1,"[51, 10, 14, 20]"
5,0.001,0.2,"[51, 10, 14, 20]"
