,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[52, 9, 16, 18]"
1,0.0001,0.1,"[56, 5, 26, 8]"
2,0.0001,0.2,"[56, 5, 26, 8]"
3,0.001,0.0,"[51, 10, 12, 22]"
4,0.001,0.1,"[50, 11, 16, 18]"
5,0.001,0.2,"[51, 10, 12, 22]"
