,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[45, 16, 11, 24]"
1,0.0001,0.1,"[45, 16, 11, 24]"
2,0.0001,0.2,"[42, 19, 9, 26]"
3,0.001,0.0,"[44, 17, 10, 25]"
4,0.001,0.1,"[44, 17, 10, 25]"
5,0.001,0.2,"[44, 17, 10, 25]"
