,Gauss,Estimators,Learning Rate,Confusion Matrix
0,1,50,0.5,"[51, 10, 29, 5]"
1,1,50,0.75,"[54, 7, 32, 2]"
2,1,50,1.0,"[1, 60, 1, 33]"
3,1,100,0.5,"[51, 10, 29, 5]"
4,1,100,0.75,"[54, 7, 32, 2]"
5,1,100,1.0,"[5, 56, 2, 32]"
6,1,150,0.5,"[51, 10, 29, 5]"
7,1,150,0.75,"[54, 7, 32, 2]"
8,1,150,1.0,"[1, 60, 1, 33]"
9,0,50,0.5,"[55, 6, 33, 1]"
10,0,50,0.75,"[55, 6, 33, 1]"
11,0,50,1.0,"[53, 8, 33, 1]"
12,0,100,0.5,"[53, 8, 33, 1]"
13,0,100,0.75,"[53, 8, 33, 1]"
14,0,100,1.0,"[53, 8, 33, 1]"
15,0,150,0.5,"[53, 8, 33, 1]"
16,0,150,0.75,"[53, 8, 33, 1]"
17,0,150,1.0,"[53, 8, 33, 1]"
