,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[62, 0, 34, 0]"
1,0.0001,0.1,"[62, 0, 34, 0]"
2,0.0001,0.2,"[55, 7, 27, 7]"
3,0.001,0.0,"[40, 22, 7, 27]"
4,0.001,0.1,"[40, 22, 7, 27]"
5,0.001,0.2,"[40, 22, 7, 27]"
