,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[57, 4, 30, 5]"
1,0.0001,0.1,"[58, 3, 28, 7]"
2,0.0001,0.2,"[48, 13, 16, 19]"
3,0.001,0.0,"[44, 17, 9, 26]"
4,0.001,0.1,"[44, 17, 9, 26]"
5,0.001,0.2,"[44, 17, 9, 26]"
