,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[18, 44, 1, 33]","[16, 45, 4, 31]","[16, 45, 3, 32]","[15, 46, 0, 35]","[21, 40, 4, 30]","[23, 38, 6, 28]","[23, 38, 2, 32]","[22, 39, 5, 29]","[20, 41, 5, 29]","[16, 45, 2, 32]"
1,0,"[45, 17, 7, 27]","[47, 14, 8, 27]","[41, 20, 13, 22]","[54, 7, 5, 30]","[46, 15, 5, 29]","[49, 12, 10, 24]","[44, 17, 6, 28]","[50, 11, 12, 22]","[38, 23, 10, 24]","[44, 17, 9, 25]"
