,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix
0,linear,0.1,,,50,0.5,"[61, 0, 28, 7]"
1,linear,0.1,,,50,0.75,"[60, 1, 29, 6]"
2,linear,0.1,,,50,1.0,"[61, 0, 35, 0]"
3,linear,0.1,,,100,0.5,"[61, 0, 28, 7]"
4,linear,0.1,,,100,0.75,"[60, 1, 29, 6]"
5,linear,0.1,,,100,1.0,"[61, 0, 35, 0]"
6,linear,0.1,,,150,0.5,"[61, 0, 28, 7]"
7,linear,0.1,,,150,0.75,"[60, 1, 29, 6]"
8,linear,0.1,,,150,1.0,"[61, 0, 35, 0]"
9,rbf,0.1,1,,50,0.5,"[61, 0, 35, 0]"
10,rbf,0.1,1,,50,0.75,"[61, 0, 35, 0]"
11,rbf,0.1,1,,50,1.0,"[61, 0, 35, 0]"
12,rbf,0.1,1,,100,0.5,"[61, 0, 35, 0]"
13,rbf,0.1,1,,100,0.75,"[61, 0, 35, 0]"
14,rbf,0.1,1,,100,1.0,"[61, 0, 35, 0]"
15,rbf,0.1,1,,150,0.5,"[61, 0, 35, 0]"
16,rbf,0.1,1,,150,0.75,"[61, 0, 35, 0]"
17,rbf,0.1,1,,150,1.0,"[61, 0, 35, 0]"
18,poly,0.1,1,2,50,0.5,"[61, 0, 35, 0]"
19,poly,0.1,1,2,50,0.75,"[61, 0, 35, 0]"
20,poly,0.1,1,2,50,1.0,"[61, 0, 35, 0]"
21,poly,0.1,1,2,100,0.5,"[61, 0, 35, 0]"
22,poly,0.1,1,2,100,0.75,"[61, 0, 35, 0]"
23,poly,0.1,1,2,100,1.0,"[61, 0, 35, 0]"
24,poly,0.1,1,2,150,0.5,"[61, 0, 35, 0]"
25,poly,0.1,1,2,150,0.75,"[61, 0, 35, 0]"
26,poly,0.1,1,2,150,1.0,"[61, 0, 35, 0]"
27,poly,0.1,1,3,50,0.5,"[61, 0, 35, 0]"
28,poly,0.1,1,3,50,0.75,"[61, 0, 35, 0]"
29,poly,0.1,1,3,50,1.0,"[57, 4, 34, 1]"
30,poly,0.1,1,3,100,0.5,"[61, 0, 35, 0]"
31,poly,0.1,1,3,100,0.75,"[61, 0, 35, 0]"
32,poly,0.1,1,3,100,1.0,"[57, 4, 34, 1]"
33,poly,0.1,1,3,150,0.5,"[61, 0, 35, 0]"
34,poly,0.1,1,3,150,0.75,"[61, 0, 35, 0]"
35,poly,0.1,1,3,150,1.0,"[57, 4, 34, 1]"
36,rbf,0.1,10.0,,50,0.5,"[61, 0, 35, 0]"
37,rbf,0.1,10.0,,50,0.75,"[61, 0, 35, 0]"
38,rbf,0.1,10.0,,50,1.0,"[61, 0, 35, 0]"
39,rbf,0.1,10.0,,100,0.5,"[61, 0, 35, 0]"
40,rbf,0.1,10.0,,100,0.75,"[61, 0, 35, 0]"
41,rbf,0.1,10.0,,100,1.0,"[61, 0, 35, 0]"
42,rbf,0.1,10.0,,150,0.5,"[61, 0, 35, 0]"
43,rbf,0.1,10.0,,150,0.75,"[61, 0, 35, 0]"
44,rbf,0.1,10.0,,150,1.0,"[61, 0, 35, 0]"
45,poly,0.1,10.0,2,50,0.5,"[51, 10, 24, 11]"
46,poly,0.1,10.0,2,50,0.75,"[51, 10, 28, 7]"
47,poly,0.1,10.0,2,50,1.0,"[48, 13, 26, 9]"
48,poly,0.1,10.0,2,100,0.5,"[51, 10, 24, 11]"
49,poly,0.1,10.0,2,100,0.75,"[51, 10, 28, 7]"
50,poly,0.1,10.0,2,100,1.0,"[48, 13, 26, 9]"
51,poly,0.1,10.0,2,150,0.5,"[51, 10, 24, 11]"
52,poly,0.1,10.0,2,150,0.75,"[51, 10, 28, 7]"
53,poly,0.1,10.0,2,150,1.0,"[48, 13, 26, 9]"
54,poly,0.1,10.0,3,50,0.5,"[40, 21, 24, 11]"
55,poly,0.1,10.0,3,50,0.75,"[38, 23, 24, 11]"
56,poly,0.1,10.0,3,50,1.0,"[42, 19, 26, 9]"
57,poly,0.1,10.0,3,100,0.5,"[40, 21, 24, 11]"
58,poly,0.1,10.0,3,100,0.75,"[40, 21, 24, 11]"
59,poly,0.1,10.0,3,100,1.0,"[44, 17, 23, 12]"
60,poly,0.1,10.0,3,150,0.5,"[41, 20, 24, 11]"
61,poly,0.1,10.0,3,150,0.75,"[40, 21, 24, 11]"
62,poly,0.1,10.0,3,150,1.0,"[44, 17, 23, 12]"
63,linear,1.0,,,50,0.5,"[52, 9, 25, 10]"
64,linear,1.0,,,50,0.75,"[54, 7, 26, 9]"
65,linear,1.0,,,50,1.0,"[61, 0, 29, 6]"
66,linear,1.0,,,100,0.5,"[52, 9, 25, 10]"
67,linear,1.0,,,100,0.75,"[54, 7, 26, 9]"
68,linear,1.0,,,100,1.0,"[61, 0, 29, 6]"
69,linear,1.0,,,150,0.5,"[52, 9, 25, 10]"
70,linear,1.0,,,150,0.75,"[54, 7, 26, 9]"
71,linear,1.0,,,150,1.0,"[61, 0, 29, 6]"
72,rbf,1.0,1,,50,0.5,"[61, 0, 35, 0]"
73,rbf,1.0,1,,50,0.75,"[61, 0, 35, 0]"
74,rbf,1.0,1,,50,1.0,"[61, 0, 35, 0]"
75,rbf,1.0,1,,100,0.5,"[61, 0, 35, 0]"
76,rbf,1.0,1,,100,0.75,"[61, 0, 35, 0]"
77,rbf,1.0,1,,100,1.0,"[61, 0, 35, 0]"
78,rbf,1.0,1,,150,0.5,"[61, 0, 35, 0]"
79,rbf,1.0,1,,150,0.75,"[61, 0, 35, 0]"
80,rbf,1.0,1,,150,1.0,"[61, 0, 35, 0]"
81,poly,1.0,1,2,50,0.5,"[61, 0, 35, 0]"
82,poly,1.0,1,2,50,0.75,"[54, 7, 26, 9]"
83,poly,1.0,1,2,50,1.0,"[51, 10, 20, 15]"
84,poly,1.0,1,2,100,0.5,"[61, 0, 35, 0]"
85,poly,1.0,1,2,100,0.75,"[54, 7, 26, 9]"
86,poly,1.0,1,2,100,1.0,"[51, 10, 20, 15]"
87,poly,1.0,1,2,150,0.5,"[61, 0, 35, 0]"
88,poly,1.0,1,2,150,0.75,"[54, 7, 26, 9]"
89,poly,1.0,1,2,150,1.0,"[51, 10, 20, 15]"
90,poly,1.0,1,3,50,0.5,"[51, 10, 24, 11]"
91,poly,1.0,1,3,50,0.75,"[51, 10, 26, 9]"
92,poly,1.0,1,3,50,1.0,"[49, 12, 28, 7]"
93,poly,1.0,1,3,100,0.5,"[51, 10, 24, 11]"
94,poly,1.0,1,3,100,0.75,"[51, 10, 26, 9]"
95,poly,1.0,1,3,100,1.0,"[49, 12, 28, 7]"
96,poly,1.0,1,3,150,0.5,"[51, 10, 24, 11]"
97,poly,1.0,1,3,150,0.75,"[51, 10, 26, 9]"
98,poly,1.0,1,3,150,1.0,"[49, 12, 28, 7]"
99,rbf,1.0,10.0,,50,0.5,"[61, 0, 35, 0]"
100,rbf,1.0,10.0,,50,0.75,"[61, 0, 35, 0]"
101,rbf,1.0,10.0,,50,1.0,"[61, 0, 35, 0]"
102,rbf,1.0,10.0,,100,0.5,"[61, 0, 35, 0]"
103,rbf,1.0,10.0,,100,0.75,"[61, 0, 35, 0]"
104,rbf,1.0,10.0,,100,1.0,"[61, 0, 35, 0]"
105,rbf,1.0,10.0,,150,0.5,"[61, 0, 35, 0]"
106,rbf,1.0,10.0,,150,0.75,"[61, 0, 35, 0]"
107,rbf,1.0,10.0,,150,1.0,"[61, 0, 35, 0]"
108,poly,1.0,10.0,2,50,0.5,"[49, 12, 28, 7]"
109,poly,1.0,10.0,2,50,0.75,"[50, 11, 28, 7]"
110,poly,1.0,10.0,2,50,1.0,"[46, 15, 27, 8]"
111,poly,1.0,10.0,2,100,0.5,"[49, 12, 28, 7]"
112,poly,1.0,10.0,2,100,0.75,"[50, 11, 28, 7]"
113,poly,1.0,10.0,2,100,1.0,"[46, 15, 27, 8]"
114,poly,1.0,10.0,2,150,0.5,"[49, 12, 28, 7]"
115,poly,1.0,10.0,2,150,0.75,"[50, 11, 28, 7]"
116,poly,1.0,10.0,2,150,1.0,"[46, 15, 27, 8]"
117,poly,1.0,10.0,3,50,0.5,"[39, 22, 26, 9]"
118,poly,1.0,10.0,3,50,0.75,"[38, 23, 25, 10]"
119,poly,1.0,10.0,3,50,1.0,"[36, 25, 25, 10]"
120,poly,1.0,10.0,3,100,0.5,"[37, 24, 26, 9]"
121,poly,1.0,10.0,3,100,0.75,"[37, 24, 25, 10]"
122,poly,1.0,10.0,3,100,1.0,"[36, 25, 25, 10]"
123,poly,1.0,10.0,3,150,0.5,"[37, 24, 26, 9]"
124,poly,1.0,10.0,3,150,0.75,"[37, 24, 25, 10]"
125,poly,1.0,10.0,3,150,1.0,"[36, 25, 25, 10]"
126,linear,10.0,,,50,0.5,"[54, 7, 27, 8]"
127,linear,10.0,,,50,0.75,"[53, 8, 26, 9]"
128,linear,10.0,,,50,1.0,"[57, 4, 28, 7]"
129,linear,10.0,,,100,0.5,"[54, 7, 27, 8]"
130,linear,10.0,,,100,0.75,"[53, 8, 26, 9]"
131,linear,10.0,,,100,1.0,"[57, 4, 28, 7]"
132,linear,10.0,,,150,0.5,"[54, 7, 27, 8]"
133,linear,10.0,,,150,0.75,"[53, 8, 26, 9]"
134,linear,10.0,,,150,1.0,"[57, 4, 28, 7]"
135,rbf,10.0,1,,50,0.5,"[61, 0, 35, 0]"
136,rbf,10.0,1,,50,0.75,"[61, 0, 35, 0]"
137,rbf,10.0,1,,50,1.0,"[61, 0, 35, 0]"
138,rbf,10.0,1,,100,0.5,"[61, 0, 35, 0]"
139,rbf,10.0,1,,100,0.75,"[61, 0, 35, 0]"
140,rbf,10.0,1,,100,1.0,"[61, 0, 35, 0]"
