,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[58, 3, 32, 2]"
1,0.0001,0.1,"[61, 0, 34, 0]"
2,0.0001,0.2,"[61, 0, 34, 0]"
3,0.001,0.0,"[46, 15, 10, 24]"
4,0.001,0.1,"[46, 15, 10, 24]"
5,0.001,0.2,"[46, 15, 10, 24]"
