,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix
0,linear,0.1,,,50,0.5,"[39, 22, 13, 22]"
1,linear,0.1,,,50,0.75,"[37, 24, 10, 25]"
2,linear,0.1,,,50,1.0,"[39, 22, 13, 22]"
3,linear,0.1,,,100,0.5,"[39, 22, 13, 22]"
4,linear,0.1,,,100,0.75,"[37, 24, 10, 25]"
5,linear,0.1,,,100,1.0,"[39, 22, 13, 22]"
6,linear,0.1,,,150,0.5,"[39, 22, 13, 22]"
7,linear,0.1,,,150,0.75,"[37, 24, 10, 25]"
8,linear,0.1,,,150,1.0,"[39, 22, 13, 22]"
9,rbf,0.1,1,,50,0.5,"[61, 0, 35, 0]"
10,rbf,0.1,1,,50,0.75,"[61, 0, 35, 0]"
11,rbf,0.1,1,,50,1.0,"[61, 0, 35, 0]"
12,rbf,0.1,1,,100,0.5,"[61, 0, 35, 0]"
13,rbf,0.1,1,,100,0.75,"[61, 0, 35, 0]"
14,rbf,0.1,1,,100,1.0,"[61, 0, 35, 0]"
15,rbf,0.1,1,,150,0.5,"[61, 0, 35, 0]"
16,rbf,0.1,1,,150,0.75,"[61, 0, 35, 0]"
17,rbf,0.1,1,,150,1.0,"[61, 0, 35, 0]"
18,poly,0.1,1,2,50,0.5,"[61, 0, 35, 0]"
19,poly,0.1,1,2,50,0.75,"[61, 0, 35, 0]"
20,poly,0.1,1,2,50,1.0,"[61, 0, 35, 0]"
21,poly,0.1,1,2,100,0.5,"[61, 0, 35, 0]"
22,poly,0.1,1,2,100,0.75,"[61, 0, 35, 0]"
23,poly,0.1,1,2,100,1.0,"[61, 0, 35, 0]"
24,poly,0.1,1,2,150,0.5,"[61, 0, 35, 0]"
25,poly,0.1,1,2,150,0.75,"[61, 0, 35, 0]"
26,poly,0.1,1,2,150,1.0,"[61, 0, 35, 0]"
27,poly,0.1,1,3,50,0.5,"[61, 0, 35, 0]"
28,poly,0.1,1,3,50,0.75,"[61, 0, 35, 0]"
29,poly,0.1,1,3,50,1.0,"[61, 0, 35, 0]"
30,poly,0.1,1,3,100,0.5,"[61, 0, 35, 0]"
31,poly,0.1,1,3,100,0.75,"[61, 0, 35, 0]"
32,poly,0.1,1,3,100,1.0,"[61, 0, 35, 0]"
33,poly,0.1,1,3,150,0.5,"[61, 0, 35, 0]"
34,poly,0.1,1,3,150,0.75,"[61, 0, 35, 0]"
35,poly,0.1,1,3,150,1.0,"[61, 0, 35, 0]"
36,rbf,0.1,10.0,,50,0.5,"[61, 0, 35, 0]"
37,rbf,0.1,10.0,,50,0.75,"[61, 0, 35, 0]"
38,rbf,0.1,10.0,,50,1.0,"[61, 0, 35, 0]"
39,rbf,0.1,10.0,,100,0.5,"[61, 0, 35, 0]"
40,rbf,0.1,10.0,,100,0.75,"[61, 0, 35, 0]"
41,rbf,0.1,10.0,,100,1.0,"[61, 0, 35, 0]"
42,rbf,0.1,10.0,,150,0.5,"[61, 0, 35, 0]"
43,rbf,0.1,10.0,,150,0.75,"[61, 0, 35, 0]"
44,rbf,0.1,10.0,,150,1.0,"[61, 0, 35, 0]"
45,poly,0.1,10.0,2,50,0.5,"[37, 24, 10, 25]"
46,poly,0.1,10.0,2,50,0.75,"[39, 22, 13, 22]"
47,poly,0.1,10.0,2,50,1.0,"[37, 24, 10, 25]"
48,poly,0.1,10.0,2,100,0.5,"[37, 24, 10, 25]"
49,poly,0.1,10.0,2,100,0.75,"[39, 22, 13, 22]"
50,poly,0.1,10.0,2,100,1.0,"[37, 24, 10, 25]"
51,poly,0.1,10.0,2,150,0.5,"[37, 24, 10, 25]"
52,poly,0.1,10.0,2,150,0.75,"[39, 22, 13, 22]"
53,poly,0.1,10.0,2,150,1.0,"[37, 24, 10, 25]"
54,poly,0.1,10.0,3,50,0.5,"[37, 24, 12, 23]"
55,poly,0.1,10.0,3,50,0.75,"[37, 24, 12, 23]"
56,poly,0.1,10.0,3,50,1.0,"[37, 24, 12, 23]"
57,poly,0.1,10.0,3,100,0.5,"[37, 24, 12, 23]"
58,poly,0.1,10.0,3,100,0.75,"[37, 24, 12, 23]"
59,poly,0.1,10.0,3,100,1.0,"[37, 24, 12, 23]"
60,poly,0.1,10.0,3,150,0.5,"[37, 24, 12, 23]"
61,poly,0.1,10.0,3,150,0.75,"[37, 24, 12, 23]"
