,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,300,5,"[45, 17, 9, 25]","[54, 7, 14, 21]","[45, 16, 8, 27]","[51, 10, 7, 28]","[49, 12, 15, 19]","[49, 12, 8, 26]","[46, 15, 9, 25]","[47, 14, 10, 24]","[41, 20, 6, 28]","[49, 12, 11, 23]"
1,300,10,"[45, 17, 10, 24]","[55, 6, 13, 22]","[46, 15, 8, 27]","[51, 10, 4, 31]","[47, 14, 13, 21]","[49, 12, 7, 27]","[47, 14, 7, 27]","[47, 14, 10, 24]","[41, 20, 5, 29]","[47, 14, 11, 23]"
2,300,15,"[47, 15, 14, 20]","[55, 6, 16, 19]","[47, 14, 12, 23]","[51, 10, 6, 29]","[46, 15, 16, 18]","[50, 11, 13, 21]","[49, 12, 14, 20]","[46, 15, 15, 19]","[45, 16, 8, 26]","[48, 13, 14, 20]"
3,500,5,"[45, 17, 9, 25]","[54, 7, 14, 21]","[45, 16, 9, 26]","[51, 10, 6, 29]","[49, 12, 15, 19]","[49, 12, 9, 25]","[46, 15, 9, 25]","[47, 14, 10, 24]","[41, 20, 6, 28]","[49, 12, 10, 24]"
4,500,10,"[45, 17, 10, 24]","[55, 6, 14, 21]","[46, 15, 8, 27]","[51, 10, 4, 31]","[47, 14, 14, 20]","[49, 12, 7, 27]","[46, 15, 7, 27]","[47, 14, 11, 23]","[41, 20, 5, 29]","[47, 14, 11, 23]"
5,500,15,"[47, 15, 13, 21]","[55, 6, 17, 18]","[47, 14, 11, 24]","[50, 11, 6, 29]","[47, 14, 16, 18]","[49, 12, 12, 22]","[49, 12, 13, 21]","[47, 14, 16, 18]","[45, 16, 8, 26]","[48, 13, 14, 20]"
