,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[43, 19, 18, 16]","[36, 25, 14, 21]","[33, 28, 11, 24]","[40, 21, 15, 20]","[36, 25, 14, 20]","[27, 34, 11, 23]","[45, 16, 12, 22]","[34, 27, 16, 18]","[35, 26, 6, 28]","[27, 34, 9, 25]"
1,0,"[57, 5, 23, 11]","[55, 6, 30, 5]","[56, 5, 27, 8]","[57, 4, 24, 11]","[56, 5, 29, 5]","[45, 16, 24, 10]","[57, 4, 29, 5]","[51, 10, 29, 5]","[56, 5, 26, 8]","[50, 11, 27, 7]"
