,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[50, 11, 5, 29]"
1,linear,0.1,,,100,"[50, 11, 6, 28]"
2,linear,0.1,,,150,"[50, 11, 6, 28]"
3,rbf,0.1,1,,50,"[50, 11, 8, 26]"
4,rbf,0.1,1,,100,"[50, 11, 8, 26]"
5,rbf,0.1,1,,150,"[50, 11, 8, 26]"
6,poly,0.1,1,2,50,"[50, 11, 6, 28]"
7,poly,0.1,1,2,100,"[50, 11, 6, 28]"
8,poly,0.1,1,2,150,"[50, 11, 6, 28]"
9,poly,0.1,1,3,50,"[50, 11, 7, 27]"
10,poly,0.1,1,3,100,"[47, 14, 7, 27]"
11,poly,0.1,1,3,150,"[50, 11, 7, 27]"
12,rbf,0.1,10.0,,50,"[50, 11, 9, 25]"
13,rbf,0.1,10.0,,100,"[50, 11, 9, 25]"
14,rbf,0.1,10.0,,150,"[50, 11, 9, 25]"
15,poly,0.1,10.0,2,50,"[49, 12, 7, 27]"
16,poly,0.1,10.0,2,100,"[49, 12, 7, 27]"
17,poly,0.1,10.0,2,150,"[49, 12, 7, 27]"
18,poly,0.1,10.0,3,50,"[47, 14, 7, 27]"
19,poly,0.1,10.0,3,100,"[44, 17, 7, 27]"
20,poly,0.1,10.0,3,150,"[47, 14, 7, 27]"
21,linear,1.0,,,50,"[50, 11, 6, 28]"
22,linear,1.0,,,100,"[50, 11, 6, 28]"
23,linear,1.0,,,150,"[50, 11, 6, 28]"
24,rbf,1.0,1,,50,"[49, 12, 7, 27]"
25,rbf,1.0,1,,100,"[49, 12, 7, 27]"
26,rbf,1.0,1,,150,"[49, 12, 7, 27]"
27,poly,1.0,1,2,50,"[50, 11, 7, 27]"
28,poly,1.0,1,2,100,"[50, 11, 7, 27]"
29,poly,1.0,1,2,150,"[50, 11, 7, 27]"
30,poly,1.0,1,3,50,"[47, 14, 7, 27]"
31,poly,1.0,1,3,100,"[48, 13, 7, 27]"
32,poly,1.0,1,3,150,"[47, 14, 7, 27]"
33,rbf,1.0,10.0,,50,"[49, 12, 7, 27]"
34,rbf,1.0,10.0,,100,"[49, 12, 7, 27]"
35,rbf,1.0,10.0,,150,"[49, 12, 7, 27]"
36,poly,1.0,10.0,2,50,"[45, 16, 7, 27]"
37,poly,1.0,10.0,2,100,"[45, 16, 7, 27]"
38,poly,1.0,10.0,2,150,"[45, 16, 7, 27]"
