,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[51, 10, 26, 8]"
1,0.0001,0.1,"[51, 10, 24, 10]"
2,0.0001,0.2,"[37, 24, 4, 30]"
3,0.001,0.0,"[46, 15, 6, 28]"
4,0.001,0.1,"[45, 16, 6, 28]"
5,0.001,0.2,"[45, 16, 6, 28]"
