,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[50, 12, 9, 25]"
1,0.0001,0.1,"[45, 17, 7, 27]"
2,0.0001,0.2,"[29, 33, 5, 29]"
3,0.001,0.0,"[48, 14, 6, 28]"
4,0.001,0.1,"[49, 13, 7, 27]"
5,0.001,0.2,"[49, 13, 7, 27]"
