,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[41, 20, 6, 28]"
1,300,10,"[41, 20, 5, 29]"
2,300,15,"[45, 16, 8, 26]"
3,500,5,"[41, 20, 6, 28]"
4,500,10,"[41, 20, 5, 29]"
5,500,15,"[45, 16, 8, 26]"
