,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[51, 10, 7, 28]"
1,300,10,"[46, 15, 7, 28]"
2,300,15,"[46, 15, 7, 28]"
3,500,5,"[51, 10, 7, 28]"
4,500,10,"[46, 15, 7, 28]"
5,500,15,"[46, 15, 7, 28]"
