,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[53, 8, 10, 25]"
1,300,10,"[53, 8, 12, 23]"
2,300,15,"[54, 7, 12, 23]"
3,500,5,"[51, 10, 10, 25]"
4,500,10,"[53, 8, 12, 23]"
5,500,15,"[54, 7, 11, 24]"
