,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[46, 15, 18, 16]"
1,0.0001,0.1,"[44, 17, 12, 22]"
2,0.0001,0.2,"[44, 17, 12, 22]"
3,0.001,0.0,"[45, 16, 13, 21]"
4,0.001,0.1,"[45, 16, 13, 21]"
5,0.001,0.2,"[45, 16, 13, 21]"
