,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[50, 11, 12, 22]"
1,300,10,"[51, 10, 11, 23]"
2,300,15,"[47, 14, 14, 20]"
3,500,5,"[50, 11, 12, 22]"
4,500,10,"[51, 10, 11, 23]"
5,500,15,"[47, 14, 15, 19]"
