,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[59, 3, 24, 10]","[54, 7, 30, 5]","[53, 8, 25, 10]","[57, 4, 24, 11]","[58, 3, 28, 6]","[54, 7, 26, 8]","[55, 6, 27, 7]","[50, 11, 29, 5]","[55, 6, 26, 8]","[53, 8, 29, 5]"
1,0.001,"[59, 3, 24, 10]","[54, 7, 30, 5]","[54, 7, 26, 9]","[57, 4, 24, 11]","[59, 2, 28, 6]","[54, 7, 26, 8]","[55, 6, 28, 6]","[50, 11, 29, 5]","[55, 6, 26, 8]","[53, 8, 29, 5]"
2,0.01,"[60, 2, 25, 9]","[59, 2, 32, 3]","[58, 3, 29, 6]","[59, 2, 31, 4]","[60, 1, 31, 3]","[57, 4, 33, 1]","[58, 3, 30, 4]","[53, 8, 31, 3]","[59, 2, 30, 4]","[54, 7, 30, 4]"
