,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[46, 15, 13, 21]"
1,300,10,"[46, 15, 12, 22]"
2,300,15,"[50, 11, 18, 16]"
3,500,5,"[46, 15, 13, 21]"
4,500,10,"[46, 15, 12, 22]"
5,500,15,"[50, 11, 18, 16]"
