,Gauss,Estimators,Learning Rate,Confusion Matrix
0,1,50,0.5,"[62, 0, 34, 0]"
1,1,50,0.75,"[36, 26, 27, 7]"
2,1,50,1.0,"[51, 11, 16, 18]"
3,1,100,0.5,"[62, 0, 34, 0]"
4,1,100,0.75,"[36, 26, 27, 7]"
5,1,100,1.0,"[51, 11, 16, 18]"
6,1,150,0.5,"[62, 0, 34, 0]"
7,1,150,0.75,"[36, 26, 27, 7]"
8,1,150,1.0,"[51, 11, 16, 18]"
9,0,50,0.5,"[61, 1, 21, 13]"
10,0,50,0.75,"[60, 2, 21, 13]"
11,0,50,1.0,"[60, 2, 21, 13]"
12,0,100,0.5,"[60, 2, 21, 13]"
13,0,100,0.75,"[60, 2, 21, 13]"
14,0,100,1.0,"[60, 2, 21, 13]"
15,0,150,0.5,"[60, 2, 21, 13]"
16,0,150,0.75,"[60, 2, 21, 13]"
17,0,150,1.0,"[60, 2, 21, 13]"
