,Alpha,L1 ratio,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,0.0,"[50, 12, 9, 25]","[48, 13, 16, 19]","[46, 15, 12, 23]","[54, 7, 15, 20]","[58, 3, 23, 11]","[48, 13, 13, 21]","[43, 18, 8, 26]","[52, 9, 16, 18]","[33, 28, 6, 28]","[47, 14, 10, 24]"
1,0.0001,0.1,"[45, 17, 7, 27]","[46, 15, 13, 22]","[46, 15, 12, 23]","[54, 7, 15, 20]","[53, 8, 18, 16]","[48, 13, 14, 20]","[45, 16, 10, 24]","[56, 5, 26, 8]","[34, 27, 6, 28]","[47, 14, 10, 24]"
2,0.0001,0.2,"[29, 33, 5, 29]","[49, 12, 13, 22]","[46, 15, 12, 23]","[54, 7, 15, 20]","[61, 0, 34, 0]","[47, 14, 12, 22]","[45, 16, 10, 24]","[56, 5, 26, 8]","[45, 16, 16, 18]","[49, 12, 11, 23]"
3,0.001,0.0,"[48, 14, 6, 28]","[45, 16, 10, 25]","[42, 19, 8, 27]","[54, 7, 6, 29]","[49, 12, 7, 27]","[48, 13, 15, 19]","[44, 17, 8, 26]","[51, 10, 12, 22]","[39, 22, 7, 27]","[45, 16, 9, 25]"
4,0.001,0.1,"[49, 13, 7, 27]","[46, 15, 10, 25]","[42, 19, 8, 27]","[54, 7, 6, 29]","[49, 12, 7, 27]","[47, 14, 15, 19]","[44, 17, 8, 26]","[50, 11, 16, 18]","[39, 22, 7, 27]","[44, 17, 9, 25]"
5,0.001,0.2,"[49, 13, 7, 27]","[46, 15, 10, 25]","[42, 19, 8, 27]","[54, 7, 6, 29]","[49, 12, 7, 27]","[47, 14, 15, 19]","[44, 17, 8, 26]","[51, 10, 12, 22]","[39, 22, 7, 27]","[44, 17, 9, 25]"
